handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_3c1e32ee-b449-789a-51f2-3886418af86f,Product,Boquilla Vandoren B40 para clarinete bajo,<div>Boquilla Vandoren para clarinete bajo</div><p>&nbsp;</p><p>Modelo B40. Abertura 193.</p><p>Sonido compacto y centrado.</p><p><span><span><span>Rieles y punta en muy buen&nbsp;estado.&nbsp;</span></span></span></p><p><span><span><span>Fabricada en Francia.</span></span></span></p><div>&nbsp;</div>,c7f112_7734b33d3a434075acd11bfb6df94a20~mv2.jpg;c7f112_301bef4fccc04a9ba236cdfbcbaf0602~mv2.jpg;c7f112_ea2f122517b44231b6a3ca64ef582023~mv2.jpg,Boquillas Segunda Mano,,,120.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vandoren
product_5ba97659-46b8-fcb4-9a06-4d7038f0b469,Product,Boquilla Vandoren B46 para clarinete bajo,"<div>Boquilla Vandoren para clarinete bajo</div><p>&nbsp;</p><p>Modelo B46. Abertura 205.</p><p>Sonido potente, particularmente apreciado por los músicos de jazz.</p><p><span><span><span>Rieles y punta en muy buen&nbsp;estado.&nbsp;</span></span></span></p><p><span><span><span>Fabricada en Francia.</span></span></span></p><div>&nbsp;</div>",c7f112_bb7442aac6ca42f0a2a9ec0ba528544f~mv2.jpg;c7f112_a508749cfab24e029532a72bb342e157~mv2.jpg;c7f112_54b5fff695d8466a839108f8e084d527~mv2.jpg,Boquillas Segunda Mano,,,120.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vandoren
product_9a634388-8028-f653-0b35-17978d067a0d,Product,Clarinete Bajo Yamaha YCL-221,<p>Fabricado en Japón.</p><p>Excelente clarinete bajo Yamaha de resina.</p><p>Calibrado y listo para tocar.</p><p>Con estuche rígido original.</p>,c7f112_80f03cac12514eb8b2bd3785cdd9fc87~mv2.jpg;c7f112_07926097f2fc445c9c22a8ecb3a011a0~mv2.jpg;c7f112_d06b104760e54077b2e036a6678464a4~mv2.jpg;c7f112_aff52c9dbec046278d507c6f91981de3~mv2.jpg;c7f112_7ec8754a99934df380219c368499b950~mv2.jpg;c7f112_fce3b91c1c9846d8b64d9786489fb158~mv2.jpg;c7f112_fd3f143b6eaa42078de0259a463a4de6~mv2.jpg;c7f112_62ce3c8892684a569cbfcf659ee0a236~mv2.jpg,Instrumentos Segunda Mano;Clarinete Segunda Mano,,,1900.0,,true,PERCENT,0.0,1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamaha
product_44d1df84-93cf-94e8-89e0-314e5b617945,Product,Estuche P. Mauriat para Saxo barítono,<p><strong>Estuche P. Mauriat para Saxo barítono</strong></p><p>&nbsp;</p><p>Seminuevo - Con ruedas y 2 asas.</p><p>4 cierres - Con llaves</p>,c7f112_f6cb8daa9175491eb7d9834be32ee46c~mv2.jpg;c7f112_22c561c07ac347c1be1ff47f5dcfd8c8~mv2.jpg;c7f112_c5659b10c784487d98ed6c05e4d58c34~mv2.jpg;c7f112_40bd19f13dd24c609a5e47332b49bc14~mv2.jpg;c7f112_3b8621df8d7c48d3bf5fd08eb77b728d~mv2.jpg,Estuches;Estuches Saxo baritono/bajo,,,200.0,,true,PERCENT,0.0,1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.Mauriat
product_7371d35f-caca-2def-d7c2-0dcdd2b3c8e7,Product,Saxo alto P.Mauriat 67RUL Rolled Tone Holes,"<p><strong>Saxo alto P.Mauriat 67RUL</strong></p><p>&nbsp;</p><p>Acabado Unlacquer (sin laca) y chimeneas enrolladas (Rolled Tone Holes)</p><p>Campana grande. Muy buena sonoridad.</p><p>En muy buen estado estético y de funcionamiento.&nbsp;</p><p>Zapatillas semi-nuevas. Fue enzapatillado completo hace 1 año.</p><p>Cuerpo, campana&nbsp;y tudel grabados.&nbsp;</p><p>Incluye estuche.</p><p>&nbsp;</p>",c7f112_cd501b64da924446aed2e509db69cf33~mv2.jpg;c7f112_ba14abdf880c40979791d40ec6af2521~mv2.jpg;c7f112_c59a5bc00c054bdb88a8243466de00a7~mv2.jpg;c7f112_baa6c75c21a3479183bcdc218b9386c2~mv2.jpg;c7f112_f7733778fbdb48dc930d1a90b521d70b~mv2.jpg;c7f112_98d31805ae03464bac674a31b6bc0b8b~mv2.jpg;c7f112_1929ea60e5de4fb1a4752464d12c87c2~mv2.jpg;c7f112_500c955ece7e4fb4a72987756e71d616~mv2.jpg,Instrumentos Segunda Mano;Saxo alto Segunda Mano,,Vendido ,1800.0,,true,PERCENT,0.0,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.Mauriat
product_43946cf8-629a-9660-d4b2-889e10546ec3,Product,Boquilla Olds 6 1/2AL tudel grande para trombón,<p>Boquilla Olds 6 1/2AL para trombón</p><p>&nbsp;</p><p>Calibre grande.</p><p>Fabricada en USA.</p>,c7f112_109829cde5e74130a31b50f390395e3e~mv2.jpg;c7f112_3648bbf6c52e41ecaee725aa716ed182~mv2.jpg;c7f112_aa5885a6ffc14866ad55cfaed00add2f~mv2.jpg;c7f112_81992007c1dd4458a4f466dd8d728344~mv2.jpg,Boquillas Segunda Mano,,,80.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olds
product_7c4ac074-0063-9bd9-c291-c3fc09a6b5e8,Product,Boquilla Vincent Bach Megatone 6 1/2AL tudel grande para trombón,<p>Boquilla Vincent Bach Megatone 6 1/2AL para trombón</p><p>&nbsp;</p><p>Calibre grande.</p><p>Fabricada en USA.</p>,c7f112_9bcf6fe05ed44abaafd1df3db3daf4a7~mv2.jpg;c7f112_b57debd2b9c344859149b698e640d728~mv2.jpg;c7f112_5958c69ed89c4bcc8ad0daf304654b36~mv2.jpg,Boquillas Segunda Mano,,,100.0,,true,PERCENT,0.0,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bach
product_5dc8d8f4-996a-94e9-964e-66bbf85585a5,Product,Saxo alto Selmer La Voix Negro con llaves doradas,<p><strong>Saxo alto Selmer La Voix</strong></p><p>Fabricado por Selmer USA en Taiwán.</p><p>Campana grande. Podría compararse con un Cannonball Big Bell.</p><p>En muy buen estado de funcionamiento.&nbsp;</p><p>Calibrado en nuestro taller. Zapatillas semi-nuevas.</p><p>Cuerpo y tudel lacado negro con llaves doradas. Lacado con desgaste y rayitas típicas del uso.</p><p>Incluye estuche.</p>,c7f112_1f97ceee85934f4e8ede26752f2491e2~mv2.jpg;c7f112_0bf229550c234977acdf80a8abedab1d~mv2.jpg;c7f112_aa409471c92843d6bc079702fb351010~mv2.jpg;c7f112_a4be5f975c234fe287747230a52bb4a4~mv2.jpg;c7f112_2c0b4b0bf14e4717bca3577cecad9f8f~mv2.jpg;c7f112_21d83f18fcea41b8bcd0bf70b2e9e768~mv2.jpg,Instrumentos Segunda Mano;Saxo alto Segunda Mano,,,1500.0,,true,PERCENT,0.0,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selmer
product_ffc67783-728c-b5b6-2435-087bb8597f1e,Product,Saxo alto Yamaha YAS-280 - Segunda mano,<p><strong>Saxo alto Yamaha YAS-280</strong></p><p>&nbsp;</p><p>Este saxo alto Yamaha YAS-280 es un instrumento usado que está en buenas condiciones y funciona perfectamente. Viene con una garantía de seis meses de nuestro taller. El saxofón también incluye su estuche y boquilla originales.</p><p>El Yamaha YAS-280 es conocido por ser el mejor saxofón para principiantes</p>,c7f112_19cf0f4365d1441e948d9c877069e6f5~mv2.jpg;c7f112_0c8b60337bfa47c9a24d8d1bf34a3196~mv2.jpg;c7f112_de6913e4581c42f4ad1aa052da8725ea~mv2.jpg;c7f112_ec04219495b542599874fb3f1f6c9187~mv2.jpg;c7f112_26e71041555c4e32bf628a76b712f0c7~mv2.jpg;c7f112_6de3dfb0aacf466ba7c0f1eb627ffc12~mv2.jpg,Saxo alto Segunda Mano;Instrumentos Segunda Mano,,,800.0,,true,PERCENT,0.0,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamaha
product_00612dc6-05c9-9b38-8b7c-56d63cc1ccf5,Product,Corno de Basset F. Arthur Uebel Superior Grenadilla,"<p>¡Descubre el Uebel Superior Basset Horn!</p><p>Inspirado por iconos musicales como Mozart, Mendelssohn, Strauss, Boulez y Stockhausen, este instrumento redefine la percepción del clarinete bajo.</p><p>Diseñado para ofrecer una suavidad de tono y una entonación precisa inigualables, el Uebel Superior Basset Horn no es solo un instrumento auxiliar, sino una herramienta de expresión del más alto nivel. Ideal para quienes buscan llevar su música a nuevas alturas.</p><p>¡Haz de cada nota una obra maestra!</p><p>Características</p><ul>	<li>Registro: hasta el do grave</li>	<li>Palanca: mi♭ / la♭</li>	<li>Llave: Llave de resonancia para sol</li>	<li>Tudeles: 2</li>	<li>Madera: Grenadilla&nbsp;seleccionada, de la mejor calidad, secada y curada de manera natural</li>	<li>Apoyapulgar: ajustable con anillo para correa</li>	<li>Plata: Tudel, campana y llaves plateadas en plata</li>	<li>Sello: Plata esterlina</li></ul><p>&nbsp;</p><p>F. Arthur Uebel lleva fabricando clarinetes de alta calidad desde 1936, combinando la artesanía tradicional con técnicas modernas. Sus instrumentos, fabricados con maderas de granadillo y mopane cuidadosamente secadas, son famosos por su sonido rico e inconfundible y su excelente ergonomía. Uebel ofrece clarinetes para todos los niveles, ya sean para músicos principiantes como profesionales. Todos sus clarinetes son fabricados en Alemania.</p>",c7f112_77c4ce2c6d4d48428d6377e3d0630cd6~mv2.jpg;c7f112_095a0143e1f8452f82660bfdcb2f3f3e~mv2.jpg,Clarinete,,,11045.0,,true,PERCENT,0.0,InStock,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F. Arthur Uebel
